drain TotalCurrent(nch33_char30_des) X,drain TotalCurrent(nch33_char30_des) Y
0,2.3735823e-20
0,3.2501022e-20
0,9.8854095e-21
0,-4.9513684e-16
0,6.3304322e-20
0,-3.2768201e-16
0,1.0399881e-15
0,8.9314323e-19
0,1.7278386e-18
0,3.3406252e-18
0.016666667,3.6334151e-06
0.045555556,9.371878e-06
0.10140741,1.8464667e-05
0.2056642,2.8983105e-05
0.39332642,3.431713e-05
0.70609679,3.5923278e-05
0.75243314,3.6084509e-05
0.82966039,3.6335691e-05
0.953224,3.670351e-05
1.1509258,3.7242756e-05
1.2563667,3.7526952e-05
1.4321016,3.8033456e-05
1.5258269,3.8340168e-05
1.688284,3.8953035e-05
1.959046,4.0276235e-05
2.4103158,4.3406006e-05
2.9103158,4.8337878e-05
3.4103158,5.5102386e-05
3.5769825,5.7854085e-05
3.8769825,6.3479264e-05
4.3769825,7.4554482e-05
4.5436492,7.9056671e-05
4.8214269,8.8025391e-05
5,9.5016981e-05

