collector TotalCurrent(npn5_hfe_des) X,collector TotalCurrent(npn5_hfe_des) Y,base TotalCurrent(npn5_hfe_des) X,base TotalCurrent(npn5_hfe_des) Y
0,3.9595067e-21,0,5.3022738e-20
0,-3.3716515e-22,0,-2.3195255e-19
0,1.3790149e-16,0,-4.896599e-17
0,2.9346096e-16,0,-1.1803049e-16
0,4.7138336e-16,0,-2.0222905e-16
0,7.0668067e-16,0,-3.2632014e-16
0,1.0747667e-15,0,-5.1996891e-16
0,1.6428362e-15,0,-8.2996277e-16
0,2.4090489e-15,0,-1.2335072e-15
0,3.3437348e-15,0,-1.7295557e-15
0,4.1088331e-15,0,-2.1297585e-15
0,4.8447022e-15,0,-2.5607782e-15
0,5.2232134e-15,0,-2.8003103e-15
0.01,5.2200404e-15,0.01,-2.7545682e-15
0.028666667,5.2146692e-15,0.028666667,-2.6656572e-15
0.064755556,5.2090305e-15,0.064755556,-2.4323109e-15
0.11475556,5.2459935e-15,0.11475556,-1.8428159e-15
0.16475556,5.6039029e-15,0.16475556,-3.2033716e-16
0.21475556,8.1768556e-15,0.21475556,3.9892089e-15
0.26475556,2.6020586e-14,0.26475556,1.7615203e-14
0.31475556,1.4910948e-13,0.31475556,6.6658257e-14
0.36475556,9.9747495e-13,0.36475556,2.7308662e-13
0.41475556,6.8434628e-12,0.41475556,1.2975103e-12
0.46475556,4.7119653e-11,0.46475556,7.1286865e-12
0.51475556,3.2450491e-10,0.51475556,4.3493937e-11
0.56475556,2.2334613e-09,0.56475556,2.8226246e-10
0.61475556,1.534785e-08,0.61475556,1.8911987e-09
0.66475556,1.0499062e-07,0.66475556,1.2852373e-08
0.71475556,7.0650052e-07,0.71475556,8.7276782e-08
0.76475556,4.4273925e-06,0.76475556,5.6751969e-07
0.81475556,2.1272733e-05,0.81475556,2.9990397e-06
0.86475556,6.1685717e-05,0.86475556,1.0156512e-05
0.91475556,0.0001181044,0.91475556,2.2980336e-05
0.96475556,0.00018148587,0.96475556,4.1244998e-05
1,0.00022858875,1,5.7606529e-05

