anode TotalCurrent(zen_off_des) X,anode TotalCurrent(zen_off_des) Y
0,-2.950178e-19
0,4.7019998e-21
-0.06,-7.1183731e-15
-0.16,-1.0928784e-14
-0.31,-1.2831709e-14
-0.46,-1.6069251e-14
-0.61,-2.5558995e-14
-0.76,-3.6287851e-14
-0.91,-4.1313636e-14
-1.06,-4.9759643e-14
-1.21,-8.7677538e-14
-1.36,-2.5726831e-13
-1.51,-9.0555674e-13
-1.66,-3.0440432e-12
-1.81,-9.2679087e-12
-1.96,-2.5217507e-11
-2.11,-6.1201989e-11
-2.26,-1.340159e-10
-2.4,-2.5867015e-10
-2.55,-4.9474862e-10
-2.7,-9.1247628e-10
-2.85,-1.647987e-09
-3,-2.929274e-09
-3.15,-5.1337199e-09
-3.3,-8.8689195e-09
-3.45,-1.5074859e-08
-3.6,-2.5068719e-08
-3.75,-4.0595165e-08
-3.9,-6.4305485e-08
-4.05,-1.0033019e-07
-4.2,-1.5487202e-07
-4.35,-2.3744847e-07
-4.5,-3.6300872e-07
-4.65,-5.5578875e-07
-4.8,-8.5660481e-07
-4.95,-1.3379587e-06
-5.1,-2.1391112e-06
-5.25,-3.5466598e-06
-5.4,-6.2500296e-06
-5.55,-1.2618127e-05
-5.7,-4.8210104e-05
-5.85,-0.00038508554
-6,-0.00069703562

